トレード番号,タイプ,日時,シグナル,価格 USDT,ポジションサイズ（数量）,ポジションサイズ（金額）,純損益 USDT,純損益 %,最大順行幅 USDT,最大順行幅 %,最大逆行幅 USDT,最大逆行幅 %,累積損益 USDT,累積損益 %
29,ロングエントリー,2023-01-27 16:00,Long,22992.5,1,22992.5,-21,-0.09,505,2.20,-157,-0.68,1841,0.18
30,ショート決済,2023-01-29 09:00,Long,23016.5,1,22971.5,-45,-0.20,101.5,0.44,-76.5,-0.33,1796,0.18
30,ショートエントリー,2023-01-28 18:00,Short,22971.5,1,22971.5,-45,-0.20,101.5,0.44,-76.5,-0.33,1796,0.18
31,ロング決済,2023-01-30 13:00,Short,23705.5,1,23016.5,689,2.99,953.5,4.14,-54.5,-0.24,2485,0.25
31,ロングエントリー,2023-01-29 09:00,Long,23016.5,1,23016.5,689,2.99,953.5,4.14,-54.5,-0.24,2485,0.25
32,ショート決済,2023-01-31 17:00,Long,22962,1,23705.5,743.5,3.14,1220.5,5.15,-67.5,-0.28,3228.5,0.32
32,ショートエントリー,2023-01-30 13:00,Short,23705.5,1,23705.5,743.5,3.14,1220.5,5.15,-67.5,-0.28,3228.5,0.32
33,ロング決済,2023-02-01 19:00,Short,22988.5,1,22962,26.5,0.12,368,1.60,-160,-0.70,3255,0.33
33,ロングエントリー,2023-01-31 17:00,Long,22962,1,22962,26.5,0.12,368,1.60,-160,-0.70,3255,0.33
34,ショート決済,2023-02-02 05:00,Long,23372.5,1,22988.5,-384,-1.67,238,1.04,-496.5,-2.16,2871,0.29
34,ショートエントリー,2023-02-01 19:00,Short,22988.5,1,22988.5,-384,-1.67,238,1.04,-496.5,-2.16,2871,0.29
35,ロング決済,2023-02-02 23:00,Short,23768,1,23372.5,395.5,1.69,893.5,3.82,-59,-0.25,3266.5,0.33
35,ロングエントリー,2023-02-02 05:00,Long,23372.5,1,23372.5,395.5,1.69,893.5,3.82,-59,-0.25,3266.5,0.33
36,ショート決済,2023-02-04 07:00,Long,23377,1,23768,391,1.65,567.5,2.39,-373.5,-1.57,3657.5,0.37
36,ショートエントリー,2023-02-02 23:00,Short,23768,1,23768,391,1.65,567.5,2.39,-373.5,-1.57,3657.5,0.37
37,ロング決済,2023-02-05 09:00,Short,23317.5,1,23377,-59.5,-0.25,205,0.88,-127,-0.54,3598,0.36
37,ロングエントリー,2023-02-04 07:00,Long,23377,1,23377,-59.5,-0.25,205,0.88,-127,-0.54,3598,0.36
38,ショート決済,2023-02-06 20:00,Long,22837.5,1,23317.5,480,2.06,707.5,3.03,-112.5,-0.48,4078,0.41
38,ショートエントリー,2023-02-05 09:00,Short,23317.5,1,23317.5,480,2.06,707.5,3.03,-112.5,-0.48,4078,0.41
39,ロング決済,2023-02-07 09:00,Short,22755,1,22837.5,-82.5,-0.36,312.5,1.37,-208,-0.91,3995.5,0.40
39,ロングエントリー,2023-02-06 20:00,Long,22837.5,1,22837.5,-82.5,-0.36,312.5,1.37,-208,-0.91,3995.5,0.40
40,ショート決済,2023-02-08 03:00,Long,23275.5,1,22755,-520.5,-2.29,14.5,0.06,-584,-2.57,3475,0.35
